NDB_No,Shrt_Desc,Water_(g),Energ_Kcal,Protein_(g),Lipid_Tot_(g),Carbohydrt_(g),Fiber_TD_(g),Sugar_Tot_(g),Calcium_(mg),Iron_(mg),Magnesium_(mg),Phosphorus_(mg),Potassium_(mg),Sodium_(mg),Zinc_(mg),Copper_mg),FA_Sat_(g),FA_Mono_(g),FA_Poly_(g),Cholestrl_(mg),Category
1206,"CREAM SUB,FLAV,PDR",1.52,482,0.68,21.47,75.42,1.2,58.01,5.0,0.63,17.0,28.0,90.0,123.0,0.23,0.135,19.446,0.618,0.229,0.0,Dairy and Egg Products
1115,"WHEY,SWEET,DRIED",3.19,353,12.93,1.07,74.46,0.0,74.46,796.0,0.88,176.0,932.0,2080.0,1079.0,1.97,0.07,0.684,0.297,0.034,6.0,Dairy and Egg Products
1113,"WHEY,ACID,DRIED",3.51,339,11.73,0.54,73.45,0.0,73.45,2054.0,1.24,199.0,1349.0,2289.0,968.0,6.31,0.05,0.342,0.149,0.021,3.0,Dairy and Egg Products
1069,"CREAM SUBSTITUTE,POWDERED",2.98,529,2.48,32.92,59.29,0.0,7.77,2.0,0.26,1.0,288.0,669.0,124.0,0.07,0.018,19.146,9.796,0.408,0.0,Dairy and Egg Products
1225,DULCE DE LECHE,28.71,315,6.84,7.35,55.35,0.0,49.74,251.0,0.17,22.0,193.0,350.0,129.0,0.79,0.004,4.534,2.143,0.375,29.0,Dairy and Egg Products
1095,"MILK,CND,COND,SWTND",27.16,321,7.91,8.7,54.4,0.0,54.4,284.0,0.19,26.0,253.0,371.0,127.0,0.94,0.015,5.486,2.427,0.337,34.0,Dairy and Egg Products
1070,"DESSERT TOPPING,POWDERED",1.47,577,4.9,39.92,52.54,0.0,52.54,17.0,0.03,7.0,74.0,166.0,122.0,0.08,0.118,36.723,0.6,0.447,0.0,Dairy and Egg Products
1092,"MILK,DRY,NONFAT,INST,W/ ADDED VIT A & VITAMIN D",3.96,358,35.1,0.72,52.19,0.0,52.19,1231.0,0.31,117.0,985.0,1705.0,549.0,4.41,0.041,0.467,0.187,0.028,18.0,Dairy and Egg Products
1155,"MILK,DRY,NONFAT,INST,WO/ ADDED VIT A & VITAMIN D",3.96,358,35.1,0.72,52.19,0.0,52.19,1231.0,0.31,117.0,985.0,1705.0,549.0,4.41,0.041,0.47,0.19,0.03,18.0,Dairy and Egg Products
1091,"MILK,DRY,NONFAT,REG,WO/ ADDED VIT A & VITAMIN D",3.16,362,36.16,0.77,51.98,0.0,51.98,1257.0,0.32,110.0,968.0,1794.0,535.0,4.08,0.041,0.499,0.201,0.03,20.0,Dairy and Egg Products
2010,"CINNAMON,GROUND",10.58,247,3.99,1.24,80.59,53.1,2.17,1002.0,8.32,60.0,64.0,431.0,10.0,1.83,0.339,0.345,0.246,0.068,0.0,Spices and Herbs
2026,ONION POWDER,5.39,341,10.41,1.04,79.12,15.2,6.63,384.0,3.9,113.0,322.0,985.0,73.0,4.05,0.59,0.219,0.202,0.31,0.0,Spices and Herbs
2004,"SPICES,BAY LEAF",5.44,313,7.61,8.36,74.97,26.3,1.84,834.0,43.0,120.0,113.0,529.0,23.0,3.7,0.416,2.28,1.64,2.29,0.0,Spices and Herbs
3000,CLIF Z BAR,7.74,409,5.55,9.72,74.72,8.3,30.56,444.0,2.7,82.0,244.0,333.0,375.0,1.15,0.187,2.721,2.447,3.319,0.0,Spices and Herbs
2020,GARLIC POWDER,6.45,331,16.55,0.73,72.73,9.0,2.43,79.0,5.65,77.0,414.0,1193.0,60.0,2.99,0.533,0.249,0.115,0.178,0.0,Spices and Herbs
2001,"ALLSPICE,GROUND",8.46,263,6.09,8.69,72.12,21.6,1.84,661.0,7.06,135.0,113.0,1044.0,77.0,1.01,0.553,2.55,0.66,2.36,0.0,Spices and Herbs
2021,"GINGER,GROUND",9.94,335,8.98,4.24,71.62,14.1,3.39,114.0,19.8,214.0,168.0,1320.0,27.0,3.64,0.48,2.599,0.479,0.929,0.0,Spices and Herbs
2035,PUMPKIN PIE SPICE,8.46,342,5.76,12.6,69.28,14.8,7.76,682.0,19.71,136.0,118.0,663.0,52.0,2.37,0.484,6.53,1.102,0.78,0.0,Spices and Herbs
2027,"SPICES,OREGANO,DRIED",9.93,265,9.0,4.28,68.92,42.5,4.09,1597.0,36.8,270.0,148.0,1260.0,25.0,2.69,0.633,1.551,0.716,1.369,0.0,Spices and Herbs
2039,"SAVORY,GROUND",9.0,272,6.73,5.91,68.73,45.7,1.84,2132.0,37.88,377.0,140.0,1051.0,24.0,4.3,0.847,3.26,1.9385,0.696,0.0,Spices and Herbs
3001,"BABYFOOD,JUC TREATS,FRUIT MEDLEY,TODD",12.89,347,0.0,0.02,86.68,0.0,57.4,12.0,0.24,7.0,9.0,54.0,89.0,0.03,0.037,0.0,0.0,0.0,0.0,Baby Foods
3023,"BABYFOOD,FINGER SNACKS,GERBER,GRADUATES,PUFFS,APPL & CINN",3.62,389,6.19,2.3,85.79,3.8,17.84,535.0,24.74,60.0,448.0,196.0,13.0,17.46,0.213,0.143,0.306,0.527,0.0,Baby Foods
3997,"BABYFOOD,BABY MUM MUM RICE BISCUITS",2.42,391,12.5,0.87,83.21,0.0,12.5,0.0,0.0,47.0,127.0,504.0,313.0,0.65,0.156,0.238,0.224,0.255,0.0,Baby Foods
3184,"BABYFOOD,CRL,WHL WHEAT,W/ APPLS,DRY FORT",1.7,402,6.6,4.8,83.2,6.7,26.66,600.0,45.0,140.0,200.0,500.0,66.0,2.6,0.62,0.639,1.277,1.866,0.0,Baby Foods
3194,"BABYFOOD,CRL,RICE,DRY,FORT",5.13,390,6.65,2.19,83.14,1.3,4.85,860.0,53.01,37.0,273.0,281.0,32.0,10.92,0.231,0.234,0.42,0.784,0.0,Baby Foods
3215,"BABYFOOD,PRETZELS",4.0,397,10.8,2.0,82.2,2.3,3.08,25.0,3.77,28.0,110.0,137.0,269.0,0.78,0.145,0.4,0.238,1.054,0.0,Baby Foods
3996,"Babyfood, Multigrain whole grain cereal, dry fortified",4.58,407,6.67,6.67,80.06,6.7,26.67,800.0,30.0,95.0,333.0,467.0,33.0,10.67,0.225,1.058,1.291,2.596,0.0,Baby Foods
3212,"BABYFOOD,CRL,RICE,W/ BANANAS,DRY",4.7,404,8.7,4.2,79.9,1.0,16.7,691.0,47.5,141.0,410.0,769.0,0.0,1.5,0.254,0.978,0.986,1.503,0.0,Baby Foods
3185,"BABYFOOD,CRL,MXD,DRY FORT",6.7,399,6.66,6.66,78.21,6.7,26.66,800.0,30.0,100.0,333.0,467.0,33.0,10.66,0.334,0.769,1.206,1.697,0.0,Baby Foods
3190,"BABYFOOD,CRL,OATMEAL,W/ BANANAS,DRY",4.7,399,6.67,6.67,78.07,5.2,26.66,800.0,45.0,118.0,267.0,600.0,33.0,1.9,0.391,1.267,1.429,2.186,0.0,Baby Foods
4706,"DRESSING,HONEY MUSTARD,FAT-FREE",56.17,169,1.07,1.47,38.43,1.2,17.75,24.0,0.36,13.0,37.0,69.0,1004.0,0.29,0.04,0.349,0.708,0.287,1.0,"Fats, Oils and Salad Dressings"
4367,"SALAD DRSNG,FRENCH DRSNG,FAT-FREE",65.04,132,0.2,0.27,32.14,2.2,16.45,5.0,0.58,3.0,0.0,84.0,853.0,0.1,0.121,0.037,0.141,0.062,0.0,"Fats, Oils and Salad Dressings"
4015,"SALAD DRSNG,RUSSIAN DRSNG",38.53,355,0.69,26.18,31.9,0.7,17.68,13.0,0.6,10.0,20.0,173.0,1133.0,0.22,0.058,2.39,5.928,14.83,0.0,"Fats, Oils and Salad Dressings"
4020,"SALAD DRSNG,FRENCH DRSNG,RED FAT",54.28,222,0.58,11.52,31.22,1.5,16.86,11.0,0.73,8.0,16.0,107.0,838.0,0.2,0.16,0.842,4.518,3.852,0.0,"Fats, Oils and Salad Dressings"
