NDB_No,Shrt_Desc,Water_(g),Energ_Kcal,Protein_(g),Lipid_Tot_(g),Carbohydrt_(g),Fiber_TD_(g),Sugar_Tot_(g),Calcium_(mg),Iron_(mg),Magnesium_(mg),Phosphorus_(mg),Potassium_(mg),Sodium_(mg),Zinc_(mg),Copper_mg),FA_Sat_(g),FA_Mono_(g),FA_Poly_(g),Cholestrl_(mg),Category
1003,"BUTTER OIL,ANHYDROUS",0.24,876,0.28,99.48,0.0,0.0,0.0,4.0,0.0,0.0,3.0,5.0,2.0,0.01,0.001,61.924,28.732,3.694,256.0,Dairy and Egg Products
1002,"BUTTER,WHIPPED,W/ SALT",16.72,718,0.49,78.3,2.87,0.0,0.06,23.0,0.05,1.0,24.0,41.0,583.0,0.05,0.01,45.39,19.874,3.331,225.0,Dairy and Egg Products
1001,"BUTTER,WITH SALT",15.87,717,0.85,81.11,0.06,0.0,0.06,24.0,0.02,2.0,24.0,24.0,643.0,0.09,0.0,51.368,21.021,3.043,215.0,Dairy and Egg Products
1145,"BUTTER,WITHOUT SALT",17.94,717,0.85,81.11,0.06,0.0,0.06,24.0,0.02,2.0,24.0,24.0,11.0,0.09,0.016,50.489,23.43,3.01,215.0,Dairy and Egg Products
1137,"EGG,YOLK,DRIED",3.08,669,33.63,59.13,0.66,0.0,0.23,289.0,9.56,26.0,1040.0,264.0,149.0,7.73,0.0,20.334,23.377,10.32,2307.0,Dairy and Egg Products
1134,"EGG,WHL,DRIED,STABILIZED,GLUCOSE RED",1.87,615,48.17,43.95,2.38,0.0,1.84,222.0,8.28,49.0,715.0,515.0,548.0,5.71,0.27,13.198,17.564,5.713,2017.0,Dairy and Egg Products
1133,"EGG,WHL,DRIED",2.78,592,48.05,43.9,1.13,0.0,0.56,244.0,7.2,34.0,629.0,540.0,476.0,3.15,0.203,15.069,16.726,8.314,1630.0,Dairy and Egg Products
1070,"DESSERT TOPPING,POWDERED",1.47,577,4.9,39.92,52.54,0.0,52.54,17.0,0.03,7.0,74.0,166.0,122.0,0.08,0.118,36.723,0.6,0.447,0.0,Dairy and Egg Products
1210,"EGG MIX,USDA CMDTY",2.78,555,35.6,34.5,23.97,0.7,2.46,171.0,3.23,11.0,451.0,373.0,576.0,2.76,0.149,10.305,13.745,7.555,975.0,Dairy and Egg Products
1069,"CREAM SUBSTITUTE,POWDERED",2.98,529,2.48,32.92,59.29,0.0,7.77,2.0,0.26,1.0,288.0,669.0,124.0,0.07,0.018,19.146,9.796,0.408,0.0,Dairy and Egg Products
