NDB_No,Shrt_Desc,Water_(g),Energ_Kcal,Protein_(g),Lipid_Tot_(g),Carbohydrt_(g),Fiber_TD_(g),Sugar_Tot_(g),Calcium_(mg),Iron_(mg),Magnesium_(mg),Phosphorus_(mg),Potassium_(mg),Sodium_(mg),Zinc_(mg),Copper_mg),FA_Sat_(g),FA_Mono_(g),FA_Poly_(g),Cholestrl_(mg),Category
1003,"BUTTER OIL,ANHYDROUS",0.24,876,0.28,99.48,0.0,0.0,0.0,4.0,0.0,0.0,3.0,5.0,2.0,0.01,0.001,61.924,28.732,3.694,256.0,Dairy and Egg Products
1001,"BUTTER,WITH SALT",15.87,717,0.85,81.11,0.06,0.0,0.06,24.0,0.02,2.0,24.0,24.0,643.0,0.09,0.0,51.368,21.021,3.043,215.0,Dairy and Egg Products
1145,"BUTTER,WITHOUT SALT",17.94,717,0.85,81.11,0.06,0.0,0.06,24.0,0.02,2.0,24.0,24.0,11.0,0.09,0.016,50.489,23.43,3.01,215.0,Dairy and Egg Products
1002,"BUTTER,WHIPPED,W/ SALT",16.72,718,0.49,78.3,2.87,0.0,0.06,23.0,0.05,1.0,24.0,41.0,583.0,0.05,0.01,45.39,19.874,3.331,225.0,Dairy and Egg Products
1070,"DESSERT TOPPING,POWDERED",1.47,577,4.9,39.92,52.54,0.0,52.54,17.0,0.03,7.0,74.0,166.0,122.0,0.08,0.118,36.723,0.6,0.447,0.0,Dairy and Egg Products
1156,"CHEESE,GOAT,HARD TYPE",29.01,452,30.52,35.59,2.17,0.0,2.17,895.0,1.88,54.0,729.0,48.0,423.0,1.59,0.627,24.609,8.117,0.845,105.0,Dairy and Egg Products
1053,"CREAM,FLUID,HVY WHIPPING",57.81,340,2.84,36.08,2.74,0.0,2.92,66.0,0.1,7.0,58.0,95.0,27.0,0.24,0.011,23.032,9.101,1.57,113.0,Dairy and Egg Products
1073,"DESSERT TOPPING,SEMI SOLID,FRZ",50.21,318,1.25,25.31,23.05,0.0,23.05,6.0,0.12,2.0,8.0,18.0,25.0,0.03,0.03,21.783,1.616,0.523,0.0,Dairy and Egg Products
1169,"CHEESE,LOW-SODIUM,CHEDDAR OR COLBY",38.98,398,24.35,32.62,1.91,0.0,0.49,703.0,0.72,27.0,484.0,112.0,21.0,3.09,0.036,20.768,9.189,0.972,100.0,Dairy and Egg Products
1157,"CHEESE,GOAT,SEMISOFT TYPE",45.52,364,21.58,29.84,0.12,0.0,0.12,298.0,1.62,29.0,375.0,158.0,415.0,0.66,0.564,20.639,6.808,0.709,79.0,Dairy and Egg Products
2025,"NUTMEG,GROUND",6.23,525,5.84,36.31,49.29,20.8,2.99,184.0,3.04,183.0,213.0,350.0,16.0,2.15,1.027,25.94,3.22,0.35,0.0,Spices and Herbs
2022,"MACE,GROUND",8.17,475,6.71,32.38,50.5,20.2,1.84,252.0,13.9,163.0,110.0,463.0,80.0,2.3,2.467,9.51,11.17,4.39,0.0,Spices and Herbs
