NDB_No,Shrt_Desc,Water_(g),Energ_Kcal,Protein_(g),Lipid_Tot_(g),Carbohydrt_(g),Fiber_TD_(g),Sugar_Tot_(g),Calcium_(mg),Iron_(mg),Magnesium_(mg),Phosphorus_(mg),Potassium_(mg),Sodium_(mg),Zinc_(mg),Copper_mg),FA_Sat_(g),FA_Mono_(g),FA_Poly_(g),Cholestrl_(mg),Category
1258,"EGG,WHITE,DRIED,STABILIZED,GLUCOSE RED",5.48,357,84.08,0.32,4.51,0.0,0.0,101.0,0.18,82.0,104.0,884.0,1299.0,0.13,0.128,0.118,0.125,0.045,0.0,Dairy and Egg Products
1136,"EGG,WHITE,DRIED,PDR,STABILIZED,GLUCOSE RED",8.54,376,82.4,0.04,4.47,0.0,0.0,89.0,0.24,72.0,89.0,1116.0,1238.0,0.16,0.17,0.0,0.0,0.0,0.0,Dairy and Egg Products
1173,"EGG,WHITE,DRIED",5.8,382,81.1,0.0,7.8,0.0,5.4,62.0,0.15,88.0,111.0,1125.0,1280.0,0.1,0.114,0.0,0.0,0.0,0.0,Dairy and Egg Products
1135,"EGG,WHITE,DRIED,FLAKES,STABILIZED,GLUCOSE RED",14.62,351,76.92,0.04,4.17,0.0,0.0,83.0,0.23,67.0,83.0,1042.0,1156.0,0.15,0.23,0.0,0.0,0.0,0.0,Dairy and Egg Products
1144,"EGG SUBSTITUTE,POWDER",3.86,444,55.5,13.0,21.8,0.0,21.8,326.0,3.16,65.0,478.0,744.0,800.0,1.82,0.207,3.766,5.341,1.683,572.0,Dairy and Egg Products
1224,"PROTEIN SUPP,MILK BSD,MUSCLE MILK LT,PDR",12.0,396,50.0,12.0,22.0,2.0,4.0,1200.0,12.0,280.0,700.0,840.0,250.0,10.0,1.4,1.087,8.474,1.239,10.0,Dairy and Egg Products
1134,"EGG,WHL,DRIED,STABILIZED,GLUCOSE RED",1.87,615,48.17,43.95,2.38,0.0,1.84,222.0,8.28,49.0,715.0,515.0,548.0,5.71,0.27,13.198,17.564,5.713,2017.0,Dairy and Egg Products
1133,"EGG,WHL,DRIED",2.78,592,48.05,43.9,1.13,0.0,0.56,244.0,7.2,34.0,629.0,540.0,476.0,3.15,0.203,15.069,16.726,8.314,1630.0,Dairy and Egg Products
1223,"PROTEIN SUPP,MILK BSD,MUSCLE MILK,PDR",15.0,411,45.71,17.14,18.5,7.1,5.71,500.0,8.57,200.0,643.0,1129.0,329.0,7.14,1.0,1.553,12.105,1.77,21.0,Dairy and Egg Products
1185,"PARMESAN CHS TOPPING,FAT FREE",8.6,370,40.0,5.0,40.0,0.0,1.5,800.0,5.0,40.0,700.0,600.0,1150.0,3.0,0.02,3.11,1.446,0.186,20.0,Dairy and Egg Products
2029,"PARSLEY,DRIED",5.89,292,26.63,5.48,50.64,26.7,7.27,1140.0,22.04,400.0,436.0,2683.0,452.0,5.44,0.78,1.378,0.761,3.124,0.0,Spices and Herbs
2024,"SPICES,MUSTARD SD,GROUND",5.27,508,26.08,36.24,28.09,12.2,6.79,266.0,9.21,370.0,828.0,738.0,13.0,6.08,0.645,1.989,22.518,10.088,0.0,Spices and Herbs
2008,"CHERVIL,DRIED",7.2,237,23.2,3.9,49.1,11.3,1.84,1346.0,31.95,130.0,450.0,4740.0,83.0,8.8,0.44,0.169,1.399,1.8,0.0,Spices and Herbs
2019,FENUGREEK SEED,8.84,323,23.0,6.41,58.35,24.6,1.84,176.0,33.53,191.0,296.0,770.0,67.0,2.5,1.11,1.46,1.9385,0.696,0.0,Spices and Herbs
2003,"SPICES,BASIL,DRIED",10.35,233,22.98,4.07,47.75,37.7,1.71,2240.0,89.8,711.0,274.0,2630.0,76.0,7.1,2.1,2.157,1.238,0.498,0.0,Spices and Herbs
2041,"SPICES,TARRAGON,DRIED",7.74,295,22.77,7.24,50.22,7.4,1.84,1139.0,32.3,347.0,313.0,3020.0,62.0,3.9,0.677,1.881,0.474,3.698,0.0,Spices and Herbs
2012,"CORIANDER LEAF,DRIED",7.3,279,21.93,4.78,52.1,10.4,7.27,1246.0,42.46,694.0,481.0,4466.0,211.0,4.72,1.786,0.115,2.232,0.328,0.0,Spices and Herbs
2017,"DILL WEED,DRIED",7.3,253,19.96,4.36,55.82,13.6,1.84,1784.0,48.78,451.0,543.0,3308.0,208.0,3.3,0.49,0.234,1.9385,0.696,0.0,Spices and Herbs
2066,"SPEARMINT,DRIED",11.3,285,19.93,6.03,52.04,29.8,1.84,1488.0,87.47,602.0,276.0,1924.0,344.0,2.41,1.542,1.577,0.21,3.257,0.0,Spices and Herbs
2005,CARAWAY SEED,9.87,333,19.77,14.59,49.9,38.0,0.64,689.0,16.23,258.0,568.0,1351.0,17.0,5.5,0.91,0.62,7.125,3.272,0.0,Spices and Herbs
3211,"BABYFOOD,CRL,HI PROT,W/APPL&ORANGE,DRY",5.3,374,25.4,6.5,57.6,7.1,1.84,751.0,47.5,159.0,539.0,1330.0,104.0,2.7,0.964,0.96,1.231,3.429,0.0,Baby Foods
3819,"CHILD FORMULA,MEAD JOHNSON,PORTAGEN,W/ IRON,PDR,NOT RECON",3.0,483,16.5,22.0,54.8,0.0,54.0,440.0,8.8,98.0,330.0,590.0,260.0,4.4,0.74,19.186,0.683,1.609,4.0,Baby Foods
3861,"INF FORM,MEAD JOHN,NEXT STEP,PROS LIPIL,PDR,W/ ARA & DHA",3.0,480,15.6,21.0,57.1,0.0,56.0,920.0,9.5,52.0,620.0,570.0,171.0,5.7,0.36,8.905,7.8,4.2,0.0,Baby Foods
3929,"INF FORMULA, MEAD JOHNSON,NEXT STEP PROSOBEE,PDR,NOT RECON",3.0,480,15.6,21.0,57.1,0.0,56.0,920.0,9.5,52.0,620.0,570.0,171.0,5.7,0.36,8.905,7.8,4.2,0.0,Baby Foods
3011,"BABYFOOD,MEAT,LAMB,JUNIOR",79.6,112,15.2,5.2,0.0,0.0,0.0,7.0,1.66,10.0,91.0,211.0,42.0,2.6,0.057,2.56,2.06,0.22,38.0,Baby Foods
3014,"BABYFOOD,MEAT,CHICK STKS,JR",68.3,188,14.6,14.4,1.5,0.2,1.4,73.0,1.56,14.0,121.0,106.0,267.0,1.01,0.045,4.094,6.267,2.986,78.0,Baby Foods
3945,"INF FORMULA, ABBOTT, SIMILAC, NEOSURE, PDR, W/ ARA & DHA",2.25,520,14.42,28.33,51.75,0.0,52.02,541.0,9.26,46.0,319.0,731.0,170.0,6.18,0.618,9.871,10.492,6.66,14.0,Baby Foods
3302,"BABYFOOD,SNACK,GERBER,GRADUATES,YOGURT MELTS",6.0,380,14.29,4.0,71.82,2.3,57.14,457.0,0.0,53.0,382.0,714.0,286.0,1.77,0.092,2.236,0.968,0.194,0.0,Baby Foods
3814,"INF FORM,MEAD JOHNSON,ENFAMIL,NUTRAMIGEN,W/IRON,PDR,NOTRECN",2.5,502,14.2,25.0,55.0,0.0,55.0,470.0,8.9,55.0,310.0,550.0,230.0,5.0,0.37,10.99,9.52,4.93,0.0,Baby Foods
3010,"BABYFOOD,MEAT,LAMB,STR",81.06,87,14.07,3.41,0.85,0.0,0.0,7.0,1.19,13.0,104.0,193.0,43.0,2.43,0.148,1.65,1.27,0.31,36.0,Baby Foods
4601,"BUTTER,LT,STK,W/SALT",42.1,499,3.3,55.1,0.0,0.0,0.0,48.0,1.09,5.0,34.0,71.0,450.0,0.26,0.0,34.321,15.927,2.046,106.0,"Fats, Oils and Salad Dressings"
