NDB_No,Shrt_Desc,Water_(g),Energ_Kcal,Protein_(g),Lipid_Tot_(g),Carbohydrt_(g),Fiber_TD_(g),Sugar_Tot_(g),Calcium_(mg),Iron_(mg),Magnesium_(mg),Phosphorus_(mg),Potassium_(mg),Sodium_(mg),Zinc_(mg),Copper_mg),FA_Sat_(g),FA_Mono_(g),FA_Poly_(g),Cholestrl_(mg),Category
1115,"WHEY,SWEET,DRIED",3.19,353,12.93,1.07,74.46,0.0,74.46,796.0,0.88,176.0,932.0,2080.0,1079.0,1.97,0.07,0.684,0.297,0.034,6.0,Dairy and Egg Products
1113,"WHEY,ACID,DRIED",3.51,339,11.73,0.54,73.45,0.0,73.45,2054.0,1.24,199.0,1349.0,2289.0,968.0,6.31,0.05,0.342,0.149,0.021,3.0,Dairy and Egg Products
1206,"CREAM SUB,FLAV,PDR",1.52,482,0.68,21.47,75.42,1.2,58.01,5.0,0.63,17.0,28.0,90.0,123.0,0.23,0.135,19.446,0.618,0.229,0.0,Dairy and Egg Products
1095,"MILK,CND,COND,SWTND",27.16,321,7.91,8.7,54.4,0.0,54.4,284.0,0.19,26.0,253.0,371.0,127.0,0.94,0.015,5.486,2.427,0.337,34.0,Dairy and Egg Products
1070,"DESSERT TOPPING,POWDERED",1.47,577,4.9,39.92,52.54,0.0,52.54,17.0,0.03,7.0,74.0,166.0,122.0,0.08,0.118,36.723,0.6,0.447,0.0,Dairy and Egg Products
1092,"MILK,DRY,NONFAT,INST,W/ ADDED VIT A & VITAMIN D",3.96,358,35.1,0.72,52.19,0.0,52.19,1231.0,0.31,117.0,985.0,1705.0,549.0,4.41,0.041,0.467,0.187,0.028,18.0,Dairy and Egg Products
1155,"MILK,DRY,NONFAT,INST,WO/ ADDED VIT A & VITAMIN D",3.96,358,35.1,0.72,52.19,0.0,52.19,1231.0,0.31,117.0,985.0,1705.0,549.0,4.41,0.041,0.47,0.19,0.03,18.0,Dairy and Egg Products
1091,"MILK,DRY,NONFAT,REG,WO/ ADDED VIT A & VITAMIN D",3.16,362,36.16,0.77,51.98,0.0,51.98,1257.0,0.32,110.0,968.0,1794.0,535.0,4.08,0.041,0.499,0.201,0.03,20.0,Dairy and Egg Products
1154,"MILK,DRY,NONFAT,REG,W/ ADDED VIT A & VITAMIN D",3.16,362,36.16,0.77,51.98,0.0,51.98,1257.0,0.32,110.0,968.0,1794.0,535.0,4.08,0.041,0.499,0.2,0.03,20.0,Dairy and Egg Products
1225,DULCE DE LECHE,28.71,315,6.84,7.35,55.35,0.0,49.74,251.0,0.17,22.0,193.0,350.0,129.0,0.79,0.004,4.534,2.143,0.375,29.0,Dairy and Egg Products
3000,CLIF Z BAR,7.74,409,5.55,9.72,74.72,8.3,30.56,444.0,2.7,82.0,244.0,333.0,375.0,1.15,0.187,2.721,2.447,3.319,0.0,Spices and Herbs
2073,"PACE,DRY TACO SEAS MIX",5.7,188,0.0,0.0,56.29,18.8,18.76,21.0,6.75,21.0,145.0,229.5,8068.0,0.99,0.09,0.0,1.9385,0.696,0.0,Spices and Herbs
2069,"VINEGAR,BALSAMIC",76.45,88,0.49,0.0,17.03,0.7,14.95,27.0,0.72,12.0,19.0,112.0,23.0,0.08,0.026,0.0,1.9385,0.696,4.0,Spices and Herbs
2052,"VANILLA EXTRACT,IMITN,NO ALCOHOL",85.58,56,0.03,0.0,14.4,0.0,14.4,3.0,0.05,1.0,0.0,0.0,3.0,0.01,0.003,0.0,0.0,0.0,0.0,Spices and Herbs
2050,VANILLA EXTRACT,52.58,288,0.06,0.06,12.65,0.0,12.65,11.0,0.12,12.0,6.0,148.0,9.0,0.11,0.072,0.01,0.01,0.004,0.0,Spices and Herbs
2075,"SEASONING MIX,DRY,TACO,ORIGINAL",5.7,322,4.5,0.0,58.0,13.3,10.83,0.0,7.2,21.0,145.0,1000.0,7203.0,0.99,0.09,0.0,1.9385,0.696,0.0,Spices and Herbs
2028,PAPRIKA,11.24,282,14.14,12.89,53.99,34.9,10.34,229.0,21.14,178.0,314.0,2280.0,68.0,4.33,0.713,2.14,1.695,7.766,0.0,Spices and Herbs
2031,"PEPPER,RED OR CAYENNE",8.05,318,12.01,17.27,56.63,27.2,10.34,148.0,7.8,152.0,293.0,2014.0,30.0,2.48,0.373,3.26,2.75,8.37,0.0,Spices and Herbs
2076,"SEASONING MIX,DRY,CHILI,ORIGINAL",10.75,335,10.82,7.3,56.56,10.8,8.67,0.0,3.9,21.0,145.0,229.5,4616.0,0.99,0.09,0.0,1.9385,5.556,0.0,Spices and Herbs
2055,"HORSERADISH,PREPARED",85.08,48,1.18,0.69,11.29,3.3,7.99,56.0,0.42,27.0,31.0,246.0,420.0,0.83,0.058,0.09,0.13,0.339,0.0,Spices and Herbs
3019,"BABYFOOD,SNACK,GERBER GRADUATE FRUIT STRIPS,REAL FRUIT BARS",19.09,330,0.82,2.24,76.61,2.0,68.65,18.0,1.05,9.0,23.0,312.0,14.0,0.14,0.242,0.364,0.092,0.664,0.0,Baby Foods
3001,"BABYFOOD,JUC TREATS,FRUIT MEDLEY,TODD",12.89,347,0.0,0.02,86.68,0.0,57.4,12.0,0.24,7.0,9.0,54.0,89.0,0.03,0.037,0.0,0.0,0.0,0.0,Baby Foods
3302,"BABYFOOD,SNACK,GERBER,GRADUATES,YOGURT MELTS",6.0,380,14.29,4.0,71.82,2.3,57.14,457.0,0.0,53.0,382.0,714.0,286.0,1.77,0.092,2.236,0.968,0.194,0.0,Baby Foods
3869,"INF FORMULA,MEAD JOHNSON,ENFAMIL,LACTOFREE,W/ IRN,PDR,NOTREC",2.2,521,10.85,28.0,57.0,0.0,57.0,430.0,9.4,42.0,290.0,580.0,156.0,5.2,0.39,12.02,10.43,5.26,8.0,Baby Foods
3943,"INF FORMULA, MEA JOHNSO, ENFAMI, AR LIPIL, PDR, W/ ARA & DHA",3.0,509,12.73,25.97,56.03,0.0,56.03,397.0,9.16,41.0,269.0,550.0,204.0,5.09,0.382,10.942,9.292,5.124,17.0,Baby Foods
3805,"INF FORMULA,MEAD JOHNSON,ENFAMIL,W/ IRON,PDR",3.3,520,10.8,27.0,56.2,0.0,56.0,400.0,9.3,41.0,270.0,560.0,139.0,5.2,0.39,11.5,10.3,5.2,17.0,Baby Foods
3808,"INF FORMULA,MEAD JOHNSON,ENFAMILLIPIL,W/IRN,PDR,W/ ARA & DHA",3.3,511,10.8,27.0,56.2,0.0,56.0,400.0,9.3,41.0,270.0,560.0,139.0,5.2,0.39,11.221,9.899,5.24,17.0,Baby Foods
3809,"INF FORMULA, MEAD JOHNSON, ENFAMIL, LO IRON, POWD, NOT RECON",3.3,511,10.8,27.0,56.2,0.0,56.0,400.0,3.6,41.0,270.0,560.0,139.0,5.2,0.39,11.5,10.0,5.3,17.0,Baby Foods
3861,"INF FORM,MEAD JOHN,NEXT STEP,PROS LIPIL,PDR,W/ ARA & DHA",3.0,480,15.6,21.0,57.1,0.0,56.0,920.0,9.5,52.0,620.0,570.0,171.0,5.7,0.36,8.905,7.8,4.2,0.0,Baby Foods
3929,"INF FORMULA, MEAD JOHNSON,NEXT STEP PROSOBEE,PDR,NOT RECON",3.0,480,15.6,21.0,57.1,0.0,56.0,920.0,9.5,52.0,620.0,570.0,171.0,5.7,0.36,8.905,7.8,4.2,0.0,Baby Foods
